9980
         10697584 function calls (10694032 primitive calls) in 10.308 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1528    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
      140    0.001    0.000    0.021    0.000 re.py:271(_compile)
      180    0.001    0.000    9.980    0.055 Main.py:208(threadRay)
  195/193    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      799    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      310    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      156    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
   109/33    0.001    0.000    0.011    0.000 sre_parse.py:417(_parse_sub)
        7    0.001    0.000    0.002    0.000 enum.py:654(<listcomp>)
      191    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      454    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      191    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
       15    0.001    0.000    0.001    0.000 arrayprint.py:1482(_guarded_repr_or_str)
      156    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      329    0.001    0.000    0.001    0.000 functools.py:67(wraps)
      454    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      347    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:403(cached)
      273    0.001    0.000    0.001    0.000 function_base.py:428(_needs_add_docstring)
      205    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      110    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
      616    0.000    0.000    0.001    0.000 _inspect.py:15(ismethod)
      572    0.000    0.000    0.001    0.000 <string>:1(__new__)
      259    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      312    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
        1    0.000    0.000    0.149    0.149 __init__.py:7(<module>)
      205    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
       35    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     1316    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      206    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
      292    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      207    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      145    0.000    0.000    0.001    0.000 enum.py:376(__setattr__)
      468    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
        1    0.000    0.000    0.004    0.004 core.py:21(<module>)
      273    0.000    0.000    0.001    0.000 function_base.py:446(_add_docstring)
       72    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.001    0.001 __init__.py:259(_reset_cache)
      595    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
        6    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.004    0.004 tokenize.py:21(<module>)
     1360    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       33    0.000    0.000    0.020    0.001 sre_compile.py:759(compile)
      364    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      595    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1316    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      612    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
      197    0.000    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
   306/13    0.000    0.000    0.269    0.021 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.013    0.013 defchararray.py:17(<module>)
        7    0.000    0.000    0.001    0.000 enum.py:177(<setcomp>)
        1    0.000    0.000    0.016    0.016 fromnumeric.py:3(<module>)
        1    0.000    0.000    9.980    9.980 Main.py:196(<listcomp>)
      469    0.000    0.000    0.000    0.000 {built-in method from_bytes}
     1048    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.008    0.008 _add_newdocs.py:10(<module>)
      242    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
     1307    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       33    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
      607    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      366    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      670    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      156    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        6    0.000    0.000    0.000    0.000 numeric.py:2388(extend_all)
      206    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      469    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        1    0.000    0.000    0.039    0.039 multiarray.py:7(<module>)
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
       33    0.000    0.000    0.012    0.000 sre_parse.py:919(parse)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
       94    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       40    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
      501    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      316    0.000    0.000    0.000    0.000 overrides.py:124(array_function_dispatch)
        1    0.000    0.000    0.233    0.233 __init__.py:106(<module>)
        1    0.000    0.000    0.005    0.005 numerictypes.py:81(<module>)
       33    0.000    0.000    0.001    0.000 enum.py:836(__and__)
      780    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      259    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       52    0.000    0.000    0.001    0.000 core.py:900(__init__)
        1    0.000    0.000    0.000    0.000 getlimits.py:293(finfo)
        3    0.000    0.000    0.006    0.002 __init__.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method posix.open}
        2    0.000    0.000    0.005    0.003 function_base.py:1(<module>)
      554    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      197    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
        1    0.000    0.000    0.002    0.002 getlimits.py:96(_register_known_types)
      244    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
       35    0.000    0.000    0.002    0.000 abc.py:125(__new__)
      416    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.002    0.002 subprocess.py:1383(_execute_child)
        1    0.000    0.000    0.000    0.000 pickle.py:1024(_Unpickler)
       64    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
    35/34    0.000    0.000    0.021    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
        1    0.000    0.000    0.002    0.002 arrayprint.py:5(<module>)
        1    0.000    0.000    0.045    0.045 __init__.py:13(<module>)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
        1    0.000    0.000    0.000    0.000 traceback.py:315(StackSummary)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedRandom' objects}
       74    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        7    0.000    0.000    0.005    0.001 enum.py:389(_create_)
        1    0.000    0.000    0.003    0.003 ImageShow.py:175(show_file)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
       19    0.000    0.000    0.001    0.000 _add_newdocs.py:6738(add_newdoc_for_scalar_type)
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
       79    0.000    0.000    0.006    0.000 enum.py:284(__call__)
      104    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       80    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
       63    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.fill}
        1    0.000    0.000    0.002    0.002 _type_aliases.py:24(<module>)
        2    0.000    0.000    0.021    0.010 shape_base.py:1(<module>)
        1    0.000    0.000   10.310   10.310 Main.py:1(<module>)
       33    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
    41/30    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 parse.py:205(_NetlocResultMixinBytes)
        1    0.000    0.000    0.004    0.004 socket.py:47(<module>)
      260    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      307    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
        1    0.000    0.000    0.000    0.000 contextlib.py:71(inner)
       20    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.001    0.001 TiffTags.py:20(<module>)
