         201548903 function calls (201542178 primitive calls) in 332.444 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      580    0.002    0.000    0.060    0.000 __init__.py:2032(<listcomp>)
    283/6    0.002    0.000    0.792    0.132 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      262    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     3778    0.002    0.000    0.008    0.000 version.py:47(__lt__)
     1160    0.002    0.000    0.007    0.000 posixpath.py:121(splitext)
      704    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
    68/58    0.002    0.000    0.012    0.000 {built-in method _imp.exec_dynamic}
     2781    0.002    0.000    0.003    0.000 {built-in method builtins.any}
      485    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     3782    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
      549    0.002    0.000    0.003    0.000 ntpath.py:122(splitdrive)
      580    0.002    0.000    0.066    0.000 __init__.py:2026(_by_version)
     3279    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
      316    0.002    0.000    0.056    0.000 overrides.py:166(decorator)
  973/159    0.002    0.000    0.253    0.002 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        9    0.002    0.000    0.004    0.000 enum.py:135(__new__)
     3432    0.002    0.000    0.003    0.000 posixpath.py:41(_get_sep)
      549    0.002    0.000    0.008    0.000 __init__.py:1492(_validate_resource_path)
      580    0.002    0.000    0.035    0.000 __init__.py:2565(__init__)
      707    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
      590    0.002    0.000    0.002    0.000 {method 'sub' of 're.Pattern' objects}
     6603    0.002    0.000    0.002    0.000 {built-in method posix.fspath}
     2956    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
     2877    0.002    0.000    0.003    0.000 sre_parse.py:249(match)
     1197    0.002    0.000    0.003    0.000 __init__.py:2812(__getattr__)
      471    0.002    0.000    0.004    0.000 copy.py:268(_reconstruct)
      279    0.002    0.000    0.005    0.000 __init__.py:2870(insert_on)
     5994    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
     3778    0.002    0.000    0.002    0.000 version.py:48(<lambda>)
      148    0.002    0.000    0.006    0.000 __init__.py:1615(_get)
      549    0.001    0.000    0.013    0.000 __init__.py:1486(_fn)
      866    0.001    0.000    0.002    0.000 {method 'update' of 'dict' objects}
     2914    0.001    0.000    0.001    0.000 version.py:244(<genexpr>)
      148    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
     2030    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     2675    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      590    0.001    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:421(_find_module_shim)
      549    0.001    0.000    0.005    0.000 ntpath.py:67(isabs)
      616    0.001    0.000    0.007    0.000 _inspect.py:98(getargspec)
      471    0.001    0.000    0.011    0.000 pyparsing.py:1167(copy)
       14    0.001    0.000    0.228    0.016 __init__.py:611(add_entry)
     1940    0.001    0.000    0.002    0.000 sre_parse.py:160(__len__)
    190/5    0.001    0.000    0.790    0.158 <frozen importlib._bootstrap_external>:722(exec_module)
      673    0.001    0.000    0.006    0.000 __init__.py:2378(yield_lines)
      948    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
      595    0.001    0.000    0.003    0.000 warnings.py:181(_add_filter)
      857    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
     2229    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
       88    0.001    0.000    0.110    0.001 sre_compile.py:759(compile)
      485    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      581    0.001    0.000    0.002    0.000 posixpath.py:144(basename)
     1237    0.001    0.000    0.002    0.000 sre_parse.py:286(tell)
      262    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
      343    0.001    0.000    0.001    0.000 {built-in method _warnings.warn}
      133    0.001    0.000    0.003    0.000 pyparsing.py:3260(__init__)
      590    0.001    0.000    0.001    0.000 warnings.py:474(__enter__)
      245    0.001    0.000    0.001    0.000 sre_parse.py:408(_uniq)
   356/30    0.001    0.000    0.382    0.013 {built-in method builtins.__import__}
     1475    0.001    0.000    0.002    0.000 sre_parse.py:172(append)
      279    0.001    0.000    0.082    0.000 __init__.py:2776(activate)
      190    0.001    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     3780    0.001    0.000    0.001    0.000 version.py:54(<lambda>)
      580    0.001    0.000    0.007    0.000 genericpath.py:39(isdir)
      341    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
  262/254    0.001    0.000    0.052    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      273    0.001    0.000    0.006    0.000 function_base.py:460(add_newdoc)
      592    0.001    0.000    0.004    0.000 __init__.py:2055(<genexpr>)
      258    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      279    0.001    0.000    0.062    0.000 __init__.py:2290(fixup_namespace_packages)
       88    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
     3966    0.001    0.000    0.001    0.000 version.py:298(_parse_letter_version)
      421    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      471    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      590    0.001    0.000    0.001    0.000 warnings.py:493(__exit__)
      591    0.001    0.000    0.004    0.000 warnings.py:165(simplefilter)
      190    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      597    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
     1777    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      573    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      580    0.001    0.000    0.006    0.000 __init__.py:1317(safe_name)
       40    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      568    0.001    0.000    0.002    0.000 posixpath.py:64(isabs)
      190    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
       88    0.001    0.000    0.002    0.000 enum.py:836(__and__)
      448    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:403(cached)
       88    0.001    0.000    0.074    0.001 sre_parse.py:919(parse)
      585    0.001    0.000    0.005    0.000 re.py:185(sub)
      279    0.001    0.000    0.001    0.000 __init__.py:2896(<listcomp>)
      179    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
      243    0.001    0.000    0.001    0.000 __init__.py:3161(_find_adapter)
      227    0.001    0.000    0.003    0.000 __init__.py:2302(file_ns_handler)
      282    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
       26    0.001    0.000    0.004    0.000 traceback.py:318(extract)
      380    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
     1095    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      590    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:1339(find_loader)
     2419    0.001    0.000    0.002    0.000 __init__.py:2345(_normalize_cached)
      162    0.001    0.000    0.035    0.000 __init__.py:2548(_version_from_file)
     2114    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      399    0.001    0.000    0.015    0.000 __init__.py:1409(has_metadata)
     1194    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
      282    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      148    0.001    0.000    0.011    0.000 __init__.py:1416(get_metadata)
      283    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
    102/2    0.001    0.000    0.003    0.001 pyparsing.py:1370(_parseNoCache)
      391    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
     2114    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      838    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
     1034    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
       49    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      616    0.001    0.000    0.001    0.000 _inspect.py:28(isfunction)
      485    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      124    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
      400    0.001    0.000    0.004    0.000 genericpath.py:16(exists)
       82    0.001    0.000    0.002    0.000 pyparsing.py:3719(__init__)
        7    0.001    0.000    0.002    0.000 enum.py:654(<listcomp>)
       69    0.001    0.000    0.001    0.000 pyparsing.py:2412(__init__)
       84    0.001    0.000    0.003    0.000 pyparsing.py:3390(__init__)
     2630    0.001    0.000    0.001    0.000 _structures.py:33(__neg__)
     1824    0.001    0.000    0.001    0.000 version.py:352(<lambda>)
      838    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
      274    0.001    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
        1    0.001    0.001    0.002    0.002 six.py:1(<module>)
      338    0.001    0.000    0.001    0.000 functools.py:67(wraps)
      590    0.001    0.000    0.001    0.000 warnings.py:453(__init__)
      190    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      200    0.001    0.000    0.001    0.000 sre_parse.py:343(_escape)
      471    0.001    0.000    0.001    0.000 copyreg.py:87(__newobj__)
      158    0.001    0.000    0.001    0.000 sre_parse.py:295(_class_escape)
       85    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
       15    0.001    0.000    0.001    0.000 arrayprint.py:1482(_guarded_repr_or_str)
